id|datetm|cui|type|polarity|text
576773607038328832|Sat Mar 14 15:55:18 UTC 2015|C1328247|2|1|abuse
576773607038328832|Sat Mar 14 15:55:18 UTC 2015|C0562381|3|1|abuse
576773607038328832|Sat Mar 14 15:55:18 UTC 2015|C0524222|5|1|oxycontin
576773607038328832|Sat Mar 14 15:55:18 UTC 2015|C0722364|1|1|oxycontin
576773688642695168|Sat Mar 14 15:55:37 UTC 2015|C0939400|1|1|Nexium
576774436361084928|Sat Mar 14 15:58:36 UTC 2015|C0024002|1|1|lorazepam
576774436361084928|Sat Mar 14 15:58:36 UTC 2015|C0287163|1|1|seroquel
576775054647803904|Sat Mar 14 16:01:03 UTC 2015|C0013806|5|1|est
576775084280528897|Sat Mar 14 16:01:10 UTC 2015|C0202418|5|1|Methadone
576775084280528897|Sat Mar 14 16:01:10 UTC 2015|C1170625|1|1|Suboxone
